,year_current,month,diff_Tourism_Index,diff_Tourist_Arrivals,diff_decom_Tourism_Index
0,2011,1,2.774423792877243,17.805803372951186,-58.46700603081568
1,2011,2,-32.22693596622907,13.403319362080376,-72.76696381257516
2,2011,3,-4.288645365277261,7.678559519839946,15.605111818541449
3,2011,4,-15.152801223734805,31.61733232359817,191.0695870407746
4,2011,5,1.336936132318994,10.513682189150265,44.583215579327145
5,2011,6,-23.72232211964086,27.00794551645857,85.3699247072242
6,2011,7,8.441091173566766,26.70533967011462,-12.466023293751048
7,2011,8,50.39769966320775,15.853125235617885,11.193425410556827
8,2011,9,-10.318556777895736,14.933465549229098,-122.48004145444908
9,2011,10,2.5623193848289523,21.888176476099964,-73.4375832184948
10,2011,11,50.40179301683864,15.149760275817487,63.276715691590745
11,2011,12,46.29282406610811,15.279779139451888,5.017463339039594
12,2012,1,-1.3133023304996536,20.949014378624533,-62.55473215419258
13,2012,2,40.36723565033568,-4.737275723178323,-0.17279219601040552
14,2012,3,-20.274231225353283,-5.280434028637963,-0.38047404153457265
15,2012,4,-16.989798235208212,-0.8242960961637085,189.23259002930118
16,2012,5,2.364879841022415,-1.4304331637085765,45.611159288030564
17,2012,6,25.831249651055703,6.134377178400987,134.92349647792076
18,2012,7,-22.39886021508533,6.136576755474654,-43.305974682403146
19,2012,8,-28.741612102845433,3.8267298380798667,-67.94588635549636
20,2012,9,6.970097525938073,6.8813403654277,-105.19138715061527
21,2012,10,11.440337378543958,1.4627878628142192,-64.55956522477979
22,2012,11,-12.93869769343269,-3.7309505151986526,-0.06377501868058566
23,2012,12,-8.17889135199579,7.144776346070723,-49.454252079064304
24,2013,1,-25.271812742318666,-7.568697605724626,-86.5132425660116
25,2013,2,-24.251768571648498,25.8167971940614,-64.79179641799459
26,2013,3,-0.9577748557120184,30.115471629026143,18.935982328106693
27,2013,4,21.518404426434113,14.312380183634346,227.7407926909435
28,2013,5,-26.317196534822116,25.013378663392828,16.929082912186033
29,2013,6,-19.526271258857726,28.821637279172773,89.56597556800733
30,2013,7,-13.724943735772857,14.299820700049374,-34.63205820309067
31,2013,8,-4.603010094870038,23.280012034901212,-43.80728434752096
32,2013,9,-11.845285473053755,20.17029919537536,-124.00677014960709
33,2013,10,-28.822600626606594,16.170406208396923,-104.82250322993033
34,2013,11,-15.031334011042748,14.910522287422095,-2.1564113362906436
35,2013,12,-30.074627345632344,14.495676919218903,-71.34998807270085
36,2014,1,-27.83422335579722,18.48451090931596,-89.07565317949015
37,2014,2,-26.4753521667027,5.690009069645329,-67.01538001304878
38,2014,3,-50.35249317487608,6.092584775573378,-30.45873599105737
39,2014,4,-32.37420424355175,16.188931550377333,173.84818402095763
40,2014,5,-12.46502454275988,14.94472842645985,30.78125490424827
41,2014,6,-33.23227125125722,8.960297020642411,75.85997557560785
42,2014,7,-32.61118225341619,13.889646705770017,-53.518296720734
43,2014,8,-28.70810690186541,5.946836421322378,-67.91238115451634
44,2014,9,-8.54076707519848,3.0509870203037988,-120.70225175175182
45,2014,10,7.892981984490313,2.7950918187662466,-68.10692061883343
46,2014,11,-3.8587755153070447,-5.081197665567115,9.01614715944506
47,2014,12,8.507624302730484,-1.2074810497847865,-32.76773642433803
48,2015,1,8.42880181593598,-7.809413462999544,-52.81262800775694
49,2015,2,11.038682822704054,8.818933200849104,-29.50134502364203
50,2015,3,25.436420941850894,6.505305039787798,45.330178125669605
51,2015,4,-11.342989544068994,-2.9123816577880333,194.8793987204404
52,2015,5,-22.85412690854293,4.483219418156327,20.39215253846522
53,2015,6,-7.503937515255502,-2.2088377506089,101.58830931160956
54,2015,7,-15.220904483005734,4.317753091595054,-36.12801895032355
55,2015,8,-2.50489814579734,5.718618624383314,-41.70917239844827
56,2015,9,-3.142004510566799,0.4173938642050592,-115.30348918712014
57,2015,10,-12.435472903887558,-4.3804551757892165,-88.4353755072113
58,2015,11,-9.916334400473376,0.4900977967876317,2.9585882742787284
59,2015,12,-28.519717715459734,14.951226095003085,-69.79507844252825
60,2016,1,-83.72298269171078,11.664417500231785,-144.9644125154037
61,2016,2,-46.82672465407279,0.14194640900488095,-87.36675250041887
62,2016,3,-11.621878637628058,2.4051162087398934,8.271878546190653
63,2016,4,-25.06004035504009,1.2235676140920562,181.1623479094693
64,2016,5,-70.06902622776526,-2.26546037803101,-26.822746780757114
65,2016,6,-53.082651678778724,-3.032905552965426,56.00959514808634
66,2016,7,-47.99310946023206,5.65936641886009,-68.90022392754987
67,2016,8,-40.09742884610888,1.94109529343405,-79.30170309875982
68,2016,9,-61.330304845154245,6.6987048612201745,-173.49178952170757
69,2016,10,-46.58972331849037,11.36609224819428,-122.58962592181412
70,2016,11,-25.07593424127716,15.910350484382274,-12.201011566525056
71,2016,12,-28.08940784922837,0.23059829776529284,-69.36476857629688
72,2017,1,-191.66780276864267,15.627882947710248,-252.9092325923356
73,2017,2,-50.0100324446205,0.3423436865358632,-90.55006029096658
74,2017,3,-96.95896812368396,-2.1419079135940797,-77.06521093986525
75,2017,4,-33.55175338735239,15.731498748707642,172.670634877157
76,2017,5,-18.141923226369073,0.28210408890033034,25.104356220639076
77,2017,6,-168.36913220016766,7.829541716223397,-59.27688537330259
78,2017,7,-57.228959794296365,2.483881483627934,-78.13607426161418
79,2017,8,-12.847624018338252,8.040469532071036,-52.05189827098918
80,2017,9,4.3465147024374735,3.9986654760619773,-107.81496997411587
81,2017,10,-14.51649060507005,8.934453438194213,-90.5163932083938
82,2017,11,-77.47151904223423,15.237348429790002,-64.59659636748214
83,2017,12,-42.01874545056281,19.669539027859116,-83.29410617763133
84,2018,1,535.8426876089453,13.57550903172273,474.6012577852524
85,2018,2,-174.35743160857487,19.193404487327758,-214.89745945492095
86,2018,3,-735.860170680945,18.462699152354325,-715.9664134971263
87,2018,4,-95.63676828642514,-0.0509292500876651,110.58561997808425
88,2018,5,-151.99448399286914,-0.6182413280422715,-108.74820454586099
89,2018,6,32.86941553198067,10.049048367792354,141.96166235884573
90,2018,7,-509.1512333776924,8.091009498564171,-530.0583478450102
91,2018,8,-266.12540675704355,2.210864726733163,-305.32968100969447
92,2018,9,-101.99348906589572,1.54362922705314,-214.15497374244904
93,2018,10,-21.94594316085912,-0.46333192692950786,-97.94584576418286
94,2018,11,-32.05294705065651,4.230494747149519,-19.178024375904407
95,2018,12,-49.221552628859556,5.436902706217098,-90.49691335592807
96,2019,1,14.992134133476586,6.4636005367015334,-46.24929569021634
97,2019,2,76.93009197066809,16.83947160500672,36.390064124322
98,2019,3,867.6137576838714,22.010849205040984,887.5075148676901
99,2019,4,-2185.679191504077,36.254207980753975,-1979.4568032395678
100,2019,5,938.9937848018521,10.880070603683015,982.2400642488603
101,2019,6,24.69276748522879,20.993538481223208,133.78501431209386
102,2019,7,15.240989933018293,8.020795866984926,-5.666124534299522
103,2019,8,-82.38597474434259,12.376604942254339,-121.59024899699352
104,2019,9,591.8713438571153,9.291023973239176,479.709859180562
105,2019,10,-87.37157007626715,11.409575094392942,-163.3714726795909
106,2019,11,-20.538600374357166,9.806216362536226,-7.663677699605062
107,2019,12,-217.66678550851287,13.612433529154345,-258.9421462355814
108,2020,1,-3.7002284669965295,14.381202491554054,-64.94165829068946
109,2020,2,-9.419743190466587,-11.150590510312428,-49.95977103681267
110,2020,3,-120.27837089073043,-63.38190772707455,-100.38461370691172
111,2020,4,-159.01866141506105,-99.99203011390806,47.203726849448344
112,2020,5,-112.00861178057085,-99.96020267515676,-68.7623323335627
113,2020,6,-129.4889010861941,-99.99911874862303,-20.396654259329026
114,2020,7,-53.993043565899015,-98.67417362876861,-74.90015803321683
115,2020,8,430.70109351656953,-94.51980077222294,391.4968192639186
116,2020,9,809.1298579869051,-91.8338023618633,696.9683733103518
117,2020,10,-236.87054302393767,-84.84090524773124,-312.8704456272614
118,2020,11,74.63711369221161,-74.0742889045178,87.51203636696371
119,2020,12,299.04699717236895,-43.73322128066858,257.77163644530043
120,2021,1,1.4508755306758416,-46.86784311236998,-59.79055429301708
121,2021,2,302.71499305296817,-35.319290983743365,262.17496520662206
122,2021,3,-605.3661452700179,83.77494549723293,-585.4723880861992
123,2021,4,-767.8919249246263,701438.4615384615,-561.6695366601169
124,2021,5,-1554.1814326553913,157492.68292682926,-1510.935153208383
125,2021,6,-1621.7255175553878,5616500.0,-1512.6332707285228
126,2021,7,554.4527067919443,5711.529680365296,533.5455923246265
127,2021,8,154.07068205049623,1780.5526453640648,114.86640779784531
128,2021,9,98.50726679879354,1096.2103071317022,-13.654217877759805
129,2021,10,1178.3125236072208,560.3114106437368,1102.312621003897
130,2021,11,-667.7081744267031,304.74592387504543,-654.8332517519509
131,2021,12,-51.506838872644664,70.39787578309755,-92.78219959971318
132,2022,1,198.71910594807176,43.062658111027865,137.47767612437883
133,2022,2,100.27459887308441,53.80669267769038,59.73457102673833
134,2022,3,47.72002548217828,37.562622621709174,67.613782665997
135,2022,4,31.193336156319035,59.300438596491226,237.41572442082844
136,2022,5,11.338782619802085,94.27669354464273,54.58506206681024
137,2022,6,-3.2827510417130856,97.42370829327352,105.80949578515198
138,2022,7,13.009821372806032,31.17621638610069,-7.897293094511783
139,2022,8,0.9423987585078416,-8.172758863223281,-38.261875494143084
140,2022,9,-21.432750548108544,-2.5327252471800588,-133.59423522466187
141,2022,10,-6.594428378719056,8.215195754086128,-82.5943309820428
142,2022,11,-21.785026042404777,1.4931767144584556,-8.910103367652672
143,2022,12,162.07377379557363,12.032212510043582,120.79841306850511
144,2023,1,-29.83689233634335,30.914127423822713,-91.07832216003628
145,2023,2,-45.97213428757128,19.397225708169195,-86.51216213391737
146,2023,3,-19.222599186779032,15.10202457080691,0.6711579970396784
147,2023,4,-16.956230983425893,13.129637532522956,189.2661572810835
148,2023,5,-19.40293500973937,-3.6398253776049967,23.84334443726878
149,2023,6,11.547312481241503,8.547594354511432,120.63955930810657
150,2023,7,-32.903384212562074,9.028833267196262,-53.810498679879885
151,2023,8,-38.40047029020366,17.43552019899441,-77.60474454285458
152,2023,9,-53.6876176868828,16.949440108585,-165.84910236343615
153,2023,10,-44.769104659177444,3.515093959164027,-120.76900726250119
154,2023,11,-13.785802493744608,11.418378878858434,-0.9108798189925036
155,2023,12,-53.63628757956622,5.783722989823473,-94.91164830663473
156,2024,1,-5.027431520686658,11.528182772074041,-66.26886134437959
157,2024,2,-33.13088797129398,22.188685608296097,-73.67091581764006
158,2024,3,-45.56866268949832,11.937365284645619,-25.674905505679607
159,2024,4,-49.81148272418432,2.439202467798755,156.41090554032507
160,2024,5,-47.04827534201884,-0.8961714299886738,-3.801995895010691
161,2024,6,-38.61515775981373,2.426825519470269,70.47708906705134
162,2024,7,-20.082849426693368,15.044636725724489,-40.98996389401118
163,2024,8,-17.76663985793468,13.768452865279555,-56.97091411058561
164,2024,9,36.8245863199866,1.3957714538776944,-75.33689835656673
165,2024,10,16.279859051296647,8.470475867312635,-59.7200435520271
166,2024,11,-6.791731575260342,5.700301848977746,6.083191099491763
167,2024,12,67.87518944973378,7.336565722973251,26.599828722665265
168,2025,1,-33.36433823046557,11.683863087039011,-94.60576805415849
169,2025,2,-49.89440611517645,-1.518455140943549,-90.43443396152253
170,2025,3,-8.42337704037011,4.75783490451894,11.470380143448601
171,2025,4,-38.78639366376898,17.792190822375066,167.4359946007404
172,2025,5,-8.542799988176004,13.129509906152242,34.70347945883215
173,2025,6,-16.422886161943286,14.996268777781383,92.66936066492178
174,2025,7,80.00730538026846,11.466739888257486,59.10019091295065
175,2025,8,53.523288228766454,9.015467574854547,14.319013976115528
176,2025,9,9.869488136087567,12.626981437554125,-102.29199654046577
177,2025,10,38.236773190656145,10.325510801119215,-37.7631294126676
178,2025,11,216.178210235147,12.798649609508228,229.0531329098991
179,2025,12,261.2332045553859,7.405014833955402,219.95784382831738
180,2026,1,202.67964477481715,4.619222481302039,141.43821495112422
181,2026,2,419.5434322819011,15.70874067569398,379.003404435555
182,2026,3,105.93056705314304,-20.74478542080327,125.82432423696174
183,2026,4,162.73045670886026,-25.57557910872218,368.9528449733697
184,2026,5,125.27051190578224,,168.5167913527904
